Query	templateId	templateText	etalon_text	algorithm	score	timeout
новый Бланк декларации усн за 2023 год	542370	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/613931/actual/	Бланк декларации по усн	SbertT5	0.8970521688461304	0.5229222774505615
как оплатить больничный лист сотруднику из казахстана	696162	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/696162/actual/	как оплатить больничный лист сотруднику из казахстана	Jaccard	1.0	0.21581387519836426
образец учетной политики усн доходы на 2024	676388	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/676388/actual/	образец учетной политики усн доходы на 2024	Jaccard	1.0	0.42341160774230957
отчетный период по ндфл в уведомлении кбк	142370	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/16/142370/actual/	отчетный период по ндфл в уведомлении кбк	Jaccard	1.0	0.3073842525482178
отчетный период по ндфл в уведомлении кбк	142370	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/16/142370/actual/	отчетный период по ндфл в уведомлении кбк	Jaccard	1.0	0.3071901798248291
пример уведомления по ндфл за январь 2024	140488	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/118/140488/actual/	пример уведомления за январь 2024 по ндфл	Jaccard	1.0	0.3065342903137207
как сдать нулевую декларацию по усн 2023	126566	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/118/126566/actual/	усн декларация 2023 нулевая пример	SbertT5	0.8330270648002625	1.127331256866455
ип доходы минус расходы какую отчетность сдавать	134861	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/16/134861/actual/	ип доходы минус расходы какую отчетность сдавать	Jaccard	1.0	0.3038454055786133
декларация по прибыли за 1 кв 2024	714525	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/714525/actual/	декларация по прибыли за 1 кв.24	SbertT5	0.8990301489830017	1.1259253025054932
образец приказа об изменении учетной политики 2024	655619	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/655619/actual/	образец приказа об изменении учетной политики 2024	Jaccard	1.0	0.3072054386138916
заполнение декларации усн доходы за 2023 год	542369	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/613933/actual/	заполнение декларации по усн доходы	SbertT5	0.99309903383255	0.61309814453125
кбк пеня взносы от несчастных случаев 2024	135981	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/118/135981/actual/	кбк пеня взносы от несчастных случаев 2024	Jaccard	1.0	0.5975511074066162
как заполнить изменения в уведомлении по ндфл	725178	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/725178/actual/	как заполнить изменения в уведомлении по ндфл	Jaccard	1.0	0.4250359535217285
ставка налога на имущество в 2024 году	142632	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/16/142632/actual/	налог на имущество в 2024 году ставка	Jaccard	1.0	0.42821168899536133
учитываются ли при расчете отпускных разовые премии	386418	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/386418/actual/	учитываются ли при расчете отпускных разовые премии	Jaccard	1.0	0.493466854095459
как посчитать долю при выходе из ооо	585314	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/694048/actual/	как определить стоимость доли участника при выходе из ооо	SbertT5	0.8896191120147705	0.579474687576294
календарь на март и апрель 2024 года	601973	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/16/147383/actual/	уведомление за март -апрель 2024	SbertT5	0.9102343916893005	0.5453197956085205
как оформить и оплатить работнику прохождение диспансеризации	76294	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/118/76294/actual/	как оформить и оплатить работнику прохождение диспансеризации	Jaccard	1.0	0.30707550048828125
служебная записка на доплату за дополнительную работу	533676	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/296187/actual/	служебная записка на доплату за дополнительную работу	Jaccard	1.0	0.5107498168945312
возврат товара прошлого периода налог на прибыль	75098	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/118/75098/actual/	возврат товара прошлого периода налог на прибыль	Jaccard	1.0	0.30463552474975586
сроки подачи уведомлений по ндфл 2024 таблица	142370	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/16/142370/actual/	сроки подачи уведомлений по ндфл 2024 таблица	Jaccard	1.0	0.2481672763824463
пример заполнения уведомления по ндфл в 2024	725229	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/725229/actual/	уведомления по ндфл 2024 примеры заполнения	Jaccard	1.0	0.2732236385345459
кто не составляет пояснения к бухгалтерской отчетности	396915	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/396915/actual/	кто не составляет пояснения к бухгалтерской отчетности	Jaccard	1.0	0.2962002754211426
максимальный срок для отпуска за свой счет	449677	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/12/405261/actual/	отпуск за свой счет максимальный срок	Jaccard	1.0	0.5110771656036377
какие документы нужны для приема на работу	147102	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/16/147102/actual/	какие документы нужны при приеме на работу	Jaccard	1.0	0.5107433795928955
больничный лист приступить к работе иное 32	133198	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/16/133198/actual/	больничный лист приступить к работе иное 32	Jaccard	1.0	0.47139978408813477
чек-лист для бухгалтера на апрель 2024 года	141193	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/118/141193/actual/	чек-лист для бухгалтера на апрель 2024 года	Jaccard	1.0	0.30074214935302734
фсс уплата пени недоимки несчастный случай реквизиты	143706	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/16/143706/actual/	фсс уплата пени недоимки несчастный случай реквизиты	Jaccard	1.0	0.2486879825592041
кто подает книгу доходов усн в ифнс	672842	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/672842/actual/	кто подает книгу доходов усн в ифнс	Jaccard	1.0	0.25151491165161133
амортизационная группа на автомобили легковые премиум класса	545844	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/16/134215/actual/	амортизационная группа легкового автомобиля	SbertT5	0.9629230499267578	0.5210416316986084
образец письмо оплаты за третье лицо поставщику	57344	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/118/57344/actual/	образец письмо оплаты за третье лицо поставщику	Jaccard	1.0	0.24903130531311035
как определить срок полезного использования основных средств	525481	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/16/134215/actual/	срок полезного использования основных средств как определить	Jaccard	1.0	0.26347923278808594
страховые взносы свыше предела за 2023 год	651590	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/651590/actual/	страховые взносы свыше предела за 2023 год	Jaccard	1.0	0.4533350467681885
6-ндфл за 1 квартал 2024 строка 120	128089	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/16/128089/actual/	6-ндфл 1 квартал 2024 120 строка	Jaccard	1.0	0.30796146392822266
уменьшение взносов по усн 6% в отчет	736872	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/736872/actual/	уменьшение взносов по усн 6% в отчет	Jaccard	1.0	0.3041858673095703
упрощенная бух отчетность форма за 2023 год	587132	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/697116/actual/	упрощенная бух отчетность фсбу 6/2020	SbertT5	0.8966351747512817	0.5361068248748779
разовая премия по итогам года бухгалтеру размер	132178	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/16/132178/actual/	разовая премия по итогам года налоговый учет	SbertT5	0.7227444648742676	0.8982653617858887
уведомление о страховых взносах за март 2024	142370	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/16/142370/actual/	уведомление по страховым взносам за март 2024 в марте 2024	Jaccard	1.0	0.31226420402526855
признание расходов на приобретение ос для есхн	498019	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/535835/actual/	признание расходов при есхн	SbertT5	0.8993642330169678	0.6066792011260986
доверенность на право подписания документов на руководителя	465567	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/465567/actual/	доверенность на право подписания документов на руководителя	Jaccard	1.0	0.9579944610595703
Бланк заявления на имущественный вычет у работодателя	115035	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/16/115035/actual/	Бланк заявления на имущественный вычет у работодателя	Jaccard	1.0	1.5072290897369385
штраф за несдачу бухгалтерского баланса в ифнс	559912	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/16/136533/actual/	штраф за несдачу бухгалтерского баланса в ифнс	Jaccard	1.0	2.0428078174591064
можно ли уволить сотрудника в период больничного	518732	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/12/518732/actual/	можно ли уволить сотрудника в период больничного	Jaccard	1.0	1.1659002304077148
в есении какого срока фсс перечисляет больничные	701145	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/701145/actual/	в есении какого срока фсс перечисляет больничные	Jaccard	1.0	0.676123857498169
декларация по усн за 2023 для ип	571017	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/665790/actual/	декларация ип усн 2023	Jaccard	1.0	0.5072972774505615
получить налоговый вычет по инвестиционному проекту 3-ндфл	662351	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/662351/actual/	получить налоговый вычет по инвестиционному проекту 3-ндфл	Jaccard	1.0	1.7398407459259033
изменения по налогам в 1 квартале 2024	597851	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/16/146330/actual/	отчеты за 1 квартал 2024	SbertT5	0.9599984884262085	0.8889834880828857
страховка отражение в бухгалтерском и налоговом учете	140100	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/16/140100/actual/	страховки отражение в учете	SbertT5	0.5407732725143433	1.4424152374267578
поверка весов при усн доходы минус расходы	145341	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/16/145341/actual/	поверка весов при усн доходы минус расходы	Jaccard	1.0	0.7395062446594238
как предоставить сотруднику стандартный вычет на ребенка	590568	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/16/139605/actual/	как предоставить сотруднику стандартный вычет на детей	Jaccard	1.0	0.818568229675293
уведомление по ндфл в 2024 году сроки	142370	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/16/142370/actual/	уведомление по ндфл сроки в 2024 году	Jaccard	1.0	0.5107531547546387
пояснительная записка к бухгалтерской отчетности за 2023	139107	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/118/139107/actual/	пояснительная бухгалтерская отчетность 2023 пояснительная записка	Jaccard	1.0	0.3109302520751953
кто имеет право сдавать упрощенную финансовую отчетность	727953	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/727953/actual/	кто имеет право сдавать упрощенную финансовую отчетность	Jaccard	1.0	0.7160217761993408
кому выплачивается пособие на погребение у работодателя	145535	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/16/145535/actual/	кому выплачивается пособие на погребение у работодателя	Jaccard	1.0	0.512042760848999
есть ли районный коэффициент в городе тула	147109	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/16/147109/actual/	размер районного коэффициента в городе усинск	SbertT5	0.5424928665161133	2.6089866161346436
письмо возврат договора аренды обеспечительного платежа образец	75382	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/16/75382/actual/	письмо возврат договора аренды обеспечительного платежа образец	Jaccard	1.0	0.6112222671508789
облагается ли компенсация за задержку зарплаты взносами	502073	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/545429/actual/	компенсация за задержку зарплаты облагается ли взносами	Jaccard	1.0	0.773681640625
облагается ли компенсация за задержку зарплаты ндфл	545428	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/545428/actual/	облагается ли компенсация за задержку зарплаты ндфл	Jaccard	1.0	0.6598529815673828
образец заполнения рсв за 1 квартал 2024	141193	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/118/141193/actual/	образец заполнения рсв за 1 квартал 2024	Jaccard	1.0	1.2836894989013672
срок уплаты ндфл с дивидендов 2024 год	142487	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/16/142487/actual/	ндфл с дивидендов в 2024 году: сроки уплаты	Jaccard	1.0	0.5492706298828125
подтверждение основного вида деятельности в 2024 году	583671	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/16/144584/actual/	подтверждение основного вида деятельности за 2024 год	Jaccard	1.0	0.46800708770751953
надо ли на аусн сдавать бухгалтерскую отчетность	683152	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/683152/actual/	аусн сдают бухгалтерскую отчетность?	Jaccard	1.0	0.8182172775268555
ндфл с дивидендов: правила для 2024 года	142446	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/16/142446/actual/	ндфл с дивидендов: правила для 2024 года	Jaccard	1.0	2.261873722076416
ндфл за 2 половину месяца марта 2024	140488	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/118/140488/actual/	ндфл за 2 половину месяца марта 2024	Jaccard	1.0	0.7268252372741699
состав форм бухгалтерской отчетности для Малых предприятий	316464	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/12/316464/actual/	состав форм бухгалтерской отчетности для Малых предприятий	Jaccard	1.0	0.715703010559082
вычет ндфл на имущество проценты по ипотеке	402922	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/402922/actual/	вычет ндфл на имущество проценты по ипотеке	Jaccard	1.0	6.023261785507202
упрощенный бух отчет кто имеет право сдать	148248	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/16/148248/actual/	упрощенный бух отчет кто имеет право сдать	Jaccard	1.0	0.5089821815490723
аренда автомобиля без экипажа статьи обслуживания авто	24448	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/118/24448/actual/	аренда автомобиля без экипажа статьи обслуживания авто	Jaccard	1.0	0.9172275066375732
расходы на занятия спортом налог на прибыль	129342	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/16/129342/actual/	расходы на занятия спортом налог на прибыль	Jaccard	1.0	0.7214508056640625
уведомление и платежки на енп при усн	672185	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/672185/actual/	уведомление и платежки на енп при усн	Jaccard	1.0	0.5165834426879883
декларация налога на имущество по кадастровой стоимости	602531	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/16/147503/actual/	декларация по налогу на имущество из кадастровой стоимости	Jaccard	1.0	0.6448345184326172
ставка налог на имущество по кадастровой стоимости	142632	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/16/142632/actual/	ставка налога на имущество от кадастровой стоимости	Jaccard	1.0	0.5823194980621338
бухгалтерский учет расходы будущих периодов и нма	143734	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/16/143734/actual/	бухгалтерский учет расходы будущих периодов и нма	Jaccard	1.0	2.0415728092193604
процент оплаты больничного в зависимости от стажа	537705	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/16/137339/actual/	процент оплаты больничного в зависимости от стажа	Jaccard	1.0	1.9814069271087646
перечисление удержаний по исполнительному листу с аванса	497858	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/535670/actual/	перечисление удержаний по исполнительному листу с аванса	Jaccard	1.0	0.6833150386810303
книгу доходов расходов на усн кто сдает	672842	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/672842/actual/	книгу доходов расходов на усн кто сдает	Jaccard	1.0	1.8388400077819824
за сколько дней писать заявление на отпуск	547821	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/623518/actual/	за сколько дней нужно писать заявление об отпуске	Jaccard	1.0	0.6192834377288818
заполнить платежное поручение на лог усн доходы	573344	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/16/143390/actual/	заполнить платежное поручение по налогам в ФНС	SbertT5	0.7436613440513611	3.991539239883423
сдавать енп по ндфл если нет начислений	0				0.0	2.0470285415649414
декларация ип по усн за 2023 год.	571017	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/665790/actual/	декларация для ип за 2023 год усн	Jaccard	1.0	3.7887117862701416
календарь бухгалтера на I квартал 2024 года	568221	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/16/142270/actual/	календарь бухгалтера на I квартал 2024 года	Jaccard	1.0	0.7116925716400146
ответ на требование о зп ниже среднеотраслевой	519459	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/12/519459/actual/	ответ на требование о зп ниже среднеотраслевой	Jaccard	1.0	0.6133561134338379
как сдать 6-ндфл при закрытии обособленного подразделения	130960	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/16/130960/actual/	как сдать 6-ндфл до закрытия обособленного подразделения	Jaccard	1.0	0.7196848392486572
книга учета доходов и расходов на усн	143532	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/16/143532/actual/	учет по усн книга доходов и расходов	Jaccard	1.0	1.2425739765167236
какие отчеты в статистику нужно сдавать микропредприятию	594859	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/711798/actual/	какие отчеты в статистику нужно сдавать микропредприятию	Jaccard	1.0	0.4928755760192871
уведомление по страховым взносам за март 2024	142370	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/16/142370/actual/	уведомление по страховым взносам за март 2024 в марте 2024	Jaccard	1.0	1.1577436923980713
сумма ндс по счету-фактуре, принимаемая к вычету	558346	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/558346/actual/	сумма ндс по счету-фактуре, принимаемая к вычету	Jaccard	1.0	0.7047955989837646
письмо о возврате денежных средств (общая форма)	64606	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/118/64606/actual/	письмо о возврате денежных средств (общая форма)	Jaccard	1.0	0.4059937000274658
трудовой договор с иностранным работником на патенте	506282	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/12/506282/actual/	трудовой договор с иностранным работником на патенте	Jaccard	1.0	0.4088134765625
ип торговля стройматериалами плательщики ндс на усн	606960	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/16/148475/actual/	является ли ип на усн н плательщиком ндс	SbertT5	0.8390648365020752	0.7225730419158936
нужно ли отправлять нулевое уведомление по усн	725232	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/725232/actual/	надо ли отправлять нулевое уведомление по усн	Jaccard	1.0	0.812227725982666
ип на усн продает помещение физлицу ккт	0				0.0	1.6383590698242188
уменьшение уставного капитала и возврат его участнику	579205	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/683089/actual/	уменьшение уставного капитала и возврата учредителю разницы источник:	SbertT5	0.9066662788391113	0.9240739345550537
об ндфл при продаже доли в ук	143772	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/16/143772/actual/	об ндфл при продаже доли в ук	Jaccard	1.0	0.9188711643218994
выход участника из ооо расчет имуществом проводки	144794	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/16/144794/actual/	выход участника физ лица из ооо, расчеты имуществом: проводки и налоги	SbertT5	0.8554877638816833	1.4310705661773682
гпх с иностранным работником из киргизии налогообложение	578786	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/16/143966/actual/	налогообложение у ип при импорте программного обеспечения из киргизии	SbertT5	0.9032304286956787	0.5977630615234375
кбк в уведомлениях за 2024 по ндфл	725229	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/725229/actual/	уведомление кбк в ндфл 2024	Jaccard	1.0	0.2656095027923584
раздел дебиторская и кредиторская задолженность к балансу	115807	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/16/115807/actual/	раздел дебиторская и кредиторская задолженность к балансу	Jaccard	1.0	0.28995847702026367
когда можно не сдавать уведомление по енп	142370	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/16/142370/actual/	когда можно не сдавать уведомление по енп	Jaccard	1.0	0.4784829616546631
заявление о зачете енс в счет будущих	577992	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/680578/actual/	заявление о зачете на счет енс	SbertT5	0.9476220607757568	0.6154191493988037
передача товара приобретенного с ндс безвозмездно покупателю	111983	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/111983/actual/	передача товара приобретенного с ндс безвозмездно покупателю	Jaccard	1.0	0.31078386306762695
протокол общего собрания об одобрении сделки образец	468778	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/12/468778/actual/	протокол общего собрания об одобрении сделки образец	Jaccard	1.0	0.3024144172668457
инструкция по охране труда для водителя автомобиля	563210	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/16/141471/actual/	инструкция по охране труда для водителя автомобиля	Jaccard	1.0	0.24940967559814453
